,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1994-09,,1.203B,55.00M,1.258B,1.581B,,1.581B,469.00M,207.00M,412.00M,1.088B,,293.00M,256.00M,4.476B,0.00,484.00M,731.00M,237.00M,1.452B,-785.00M,667.00M,,,,,,160.00M,827.00M,5.303B,,882.00M,,882.00M,178.00M,1.06B,,,,292.00M,292.00M,,,455.00M,1.944B,305.00M,305.00M,671.00M,,671.00M,,976.00M,2.92B,,298.00M,2.096B,,,2.383B,,AOR,Restated
1994-06,,1.142B,86.60M,1.228B,1.277B,,1.277B,486.56M,179.40M,531.10M,1.197B,256.94M,,300.61M,4.260B,0.00,470.68M,718.70M,236.50M,1.426B,-760.90M,664.98M,,,,,,198.44M,863.42M,5.123B,,696.03M,,696.03M,230.88M,926.91M,515.61M,,,515.61M,515.61M,,,345.30M,1.917B,304.82M,304.82M,656.00M,,656.00M,,960.81M,2.878B,,264.75M,1.996B,,-15.47M,2.245B,,AOR,Restated
1993-12,,972.39M,150.39M,1.123B,1.248B,,1.248B,391.12M,214.50M,733.02M,1.339B,279.20M,,219.44M,4.208B,0.00,411.06M,728.32M,233.74M,1.373B,-730.79M,642.34M,,,,,,192.10M,834.43M,5.042B,,739.60M,2.886M,742.48M,406.41M,1.149B,752.26M,,,752.26M,752.26M,,,305.67M,2.328B,,,661.02M,,661.02M,,661.02M,2.989B,,211.11M,1.869B,,-26.51M,2.053B,,AOR,Restated
1993-09,,676.41M,215.89M,892.30M,1.382B,,1.382B,,,,1.507B,,268.08M,289.38M,4.338B,0.00,404.69M,746.18M,261.79M,1.413B,-753.11M,659.55M,,,,,,173.51M,833.06M,5.171B,,742.62M,,742.62M,482.48M,1.225B,,,,823.18M,823.18M,,,315.02M,2.508B,7.117M,7.117M,629.83M,,629.83M,,636.95M,3.145B,,203.61M,1.843B,,-19.84M,2.026B,,,Restated
1993-06,,393.20M,,393.20M,,,1.265B,,,,1.239B,,,1.023B,3.920B,,,,,1.415B,-755.40M,659.50M,,,,,,188.10M,847.60M,4.768B,,659.50M,,659.50M,,659.50M,,,,308.20M,308.20M,,,1.130B,2.097B,,,650.30M,,650.30M,,650.30M,2.748B,,,1.856B,,,2.020B,,,Restated
1993-03,,560.60M,,560.60M,,,1.286B,,,,876.80M,,,931.50M,3.655B,,,,,1.374B,-723.70M,650.30M,,,,,,165.20M,815.50M,4.470B,,613.70M,,613.70M,,613.70M,,,,59.90M,59.90M,,,795.90M,1.470B,,,714.40M,,714.40M,,714.40M,2.184B,,,2.077B,,,2.286B,,,
1992-12,,584.40M,,584.40M,,,1.199B,,,,596.60M,,,1.324B,3.703B,,,,,1.329B,-689.50M,639.30M,,,,,,152.00M,791.30M,4.495B,,467.20M,,467.20M,,467.20M,,,,190.60M,190.60M,,,880.00M,1.538B,,,674.00M,,674.00M,,674.00M,2.212B,,,2.026B,,,2.283B,,,Restated
1992-09,,498.60M,,498.60M,,,1.087B,,,,580.10M,,,1.392B,3.558B,,,,,1.136B,-673.40M,462.20M,,,,,,203.10M,665.30M,4.224B,,426.90M,,426.90M,,426.90M,,,,184.50M,184.50M,,,814.10M,1.426B,,,610.80M,,610.80M,,610.80M,2.036B,,,1.904B,,,2.187B,,,Restated
1992-06,,731.30M,,731.30M,,,956.60M,,,,535.80M,,,1.200B,3.423B,,,,,1.058B,-590.50M,467.90M,,,,,,230.10M,698.00M,4.121B,,389.40M,,389.40M,,389.40M,,,,180.20M,180.20M,,,788.10M,1.358B,,,642.10M,,642.10M,,642.10M,2.000B,,,1.831B,,,2.121B,,,
1992-03,,766.80M,,766.80M,,,873.30M,,,,542.50M,,,1.074B,3.257B,,,,,1.048B,-590.50M,457.90M,,,,,,226.10M,684.00M,3.941B,,341.00M,,341.00M,,341.00M,,,,136.30M,136.30M,,,773.60M,1.251B,,,603.00M,,603.00M,,603.00M,1.854B,,,1.740B,,,2.087B,,,
1991-12,,530.10M,,530.10M,,,973.50M,,,,643.30M,,,924.70M,3.072B,,,,,1.047B,-590.50M,456.10M,,,,,,217.80M,673.90M,3.746B,,400.80M,,400.80M,,400.80M,,,,45.70M,45.70M,,,824.30M,1.271B,,,551.90M,,551.90M,,551.90M,1.823B,,,1.639B,,,1.923B,,,
1991-09,,604.10M,,604.10M,,,907.20M,,,,671.70M,,,680.60M,2.864B,,,,,1.036B,-588.00M,448.00M,,,,,,182.00M,630.00M,3.494B,,357.10M,,357.10M,,357.10M,,,,148.60M,148.60M,,,711.40M,1.217B,,,509.90M,,509.90M,-0.10M,509.80M,1.727B,,,1.492B,,,1.767B,,,
1991-06,,773.70M,,773.70M,,,767.10M,,,,733.30M,,,554.20M,2.828B,,,,,997.80M,-552.70M,445.10M,,,,,,182.10M,627.20M,3.456B,,361.70M,,361.70M,,361.70M,,,,156.30M,156.30M,,,768.80M,1.287B,,,502.30M,,502.30M,0.10M,502.40M,1.789B,,,1.427B,,,1.666B,,,
1991-03,,874.30M,,874.30M,,,790.90M,,,,620.90M,,,526.80M,2.813B,,,,,949.80M,-513.90M,435.90M,,,,,,173.40M,609.30M,3.422B,,421.00M,,421.00M,,421.00M,,,,6.00M,6.00M,,,569.20M,996.20M,,,611.60M,,611.60M,,611.60M,1.608B,,,1.520B,,,1.814B,,,
1990-12,,739.30M,,739.30M,,,853.50M,,,,408.50M,,,542.70M,2.544B,,,,,917.00M,-480.70M,436.30M,,,,,,177.00M,613.30M,3.157B,,417.30M,,417.30M,,417.30M,,,,23.00M,23.00M,,,632.00M,1.072B,,,539.90M,,539.90M,,539.90M,1.612B,,,1.405B,,,1.545B,,,
1990-09,,374.70M,,374.70M,,,761.90M,,,,355.50M,,,911.20M,2.403B,,,,,844.90M,-446.70M,398.20M,,,,,,174.20M,572.40M,2.976B,,340.60M,,340.60M,,340.60M,,,,122.60M,122.60M,,,563.80M,1.027B,,,501.80M,,501.80M,0.10M,501.90M,1.529B,,,1.312B,,,1.447B,,,
1990-06,,665.00M,,665.00M,,,705.50M,,,,291.90M,,,676.60M,2.339B,,,,,793.40M,-414.70M,378.70M,,,,,,171.80M,550.50M,2.890B,,279.10M,,279.10M,,279.10M,,,,24.90M,24.90M,,,582.90M,886.90M,,,495.80M,,495.80M,,495.80M,1.383B,,,1.335B,,,1.507B,,,
1990-03,,645.80M,,645.80M,,,658.80M,,,,312.50M,,,652.60M,2.270B,,,,,745.80M,-377.50M,368.30M,,,,,,137.70M,506.00M,2.776B,,235.80M,,235.80M,,235.80M,,,,20.00M,20.00M,,,518.50M,774.30M,,,450.50M,,450.50M,,450.50M,1.225B,,,1.341B,,,1.551B,,,
1989-12,,410.50M,,410.50M,,,749.00M,,,,426.60M,,,739.40M,2.326B,,,,,704.30M,-342.40M,361.90M,,,,,,125.90M,487.80M,2.813B,,258.70M,,258.70M,,258.70M,,,,67.90M,67.90M,,,566.10M,892.70M,,,396.80M,,396.80M,,396.80M,1.290B,,,1.248B,,,1.524B,,,
1989-09,,438.30M,,438.30M,,,792.80M,,,,475.40M,,,587.90M,2.294B,,,,,643.30M,-309.10M,334.20M,,,,,,115.30M,449.50M,2.744B,,334.20M,,334.20M,,334.20M,,,,56.80M,56.80M,,,504.30M,895.30M,,,362.90M,,362.90M,,362.90M,1.258B,,,1.176B,,,1.486B,,,
1988-09,,545.70M,,545.70M,,,638.80M,,,,461.50M,,,137.00M,1.783B,,,,,420.40M,-213.00M,207.40M,,,,,,91.70M,299.10M,2.082B,,,,,,,,,,127.90M,127.90M,,,699.20M,827.10M,,,251.60M,,251.60M,,251.60M,1.079B,,,776.50M,,,1.003B,,,
1987-09,,565.10M,,565.10M,,,405.60M,,,,225.80M,,,110.90M,1.307B,,,,,289.10M,-158.70M,130.40M,,,,,,40.10M,170.50M,1.478B,,,,,,,,,,,,,,,478.70M,,,162.80M,,162.80M,-0.10M,162.70M,641.40M,,,573.10M,,,836.50M,,,
1986-09,,576.20M,,576.20M,,,263.10M,,,,108.70M,,,92.90M,1.041B,,,,,222.00M,-114.70M,107.30M,,,,,,11.90M,119.20M,1.160B,,,,,,,,,,,,,,,328.50M,,,137.50M,,137.50M,,137.50M,466.00M,,,474.30M,,,694.10M,,,
1985-09,,337.00M,,337.00M,,,220.20M,,,,167.00M,,,97.90M,822.10M,,,,,175.60M,-85.20M,90.40M,,,,,,23.70M,114.10M,936.20M,,,,,,,,,,,,,,,295.40M,,,90.30M,,90.30M,,90.30M,385.70M,,,320.30M,,,550.50M,,,
1984-09,,114.90M,,114.90M,,,258.20M,,,,264.60M,,,49.90M,687.60M,,,,,149.60M,-73.70M,75.90M,,,,,,25.30M,101.20M,788.80M,,,,,,,,,,,,,,,255.20M,,,69.00M,,69.00M,,69.00M,324.20M,,,259.10M,,,464.60M,,,
