,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1995-06,2.028B,150.00M,2.178B,3.01B,3.01B,1.315B,247.00M,1.891B,3.453B,1.397B,,804.00M,,10.84B,0.00,641.00M,3.364B,13.73B,,17.74B,-6.713B,11.03B,,4.572B,4.572B,1.685B,17.28B,28.12B,,2.891B,,2.891B,4.219B,7.11B,,,,970.00M,970.00M,568.00M,8.648B,5.161B,,5.161B,531.00M,531.00M,,,3.196B,8.888B,17.54B,,2.60B,8.965B,693.00M,,1.913B,,65.00M,-1.734B,-1.669B,10.59B,,,
1995-03,2.258B,109.00M,2.367B,3.479B,3.479B,1.209B,228.00M,1.914B,3.351B,1.085B,,813.00M,,11.10B,,,,,,17.00B,-6.387B,10.61B,,4.362B,4.362B,1.734B,16.70B,27.80B,,7.43B,,7.43B,,7.43B,,,,1.061B,1.061B,,8.491B,5.157B,,5.157B,572.00M,572.00M,,,3.26B,8.989B,17.48B,,2.606B,8.858B,663.00M,,1.919B,,-74.00M,-1.734B,-1.808B,10.32B,,,
1994-12,2.184B,177.00M,2.361B,3.743B,3.743B,1.157B,201.00M,1.758B,3.116B,966.00M,,720.00M,,10.91B,,,,,,16.64B,-6.227B,10.42B,,4.282B,4.282B,1.731B,16.43B,27.34B,,7.114B,,7.114B,,7.114B,,,,1.691B,1.691B,,8.805B,5.061B,,5.061B,508.00M,508.00M,,,3.158B,8.727B,17.53B,,2.612B,8.499B,622.00M,,1.926B,,-167.00M,-1.761B,-1.928B,9.805B,,,
1994-09,2.429B,146.00M,2.575B,3.59B,3.59B,1.178B,198.00M,1.682B,3.058B,824.00M,,768.00M,,10.82B,,,,,,16.41B,-6.194B,10.21B,,4.26B,4.26B,1.843B,16.32B,27.13B,,7.142B,,7.142B,,7.142B,,,,1.635B,1.635B,,8.777B,5.08B,,5.08B,459.00M,459.00M,,,3.351B,8.89B,17.67B,,2.617B,8.021B,590.00M,,1.932B,,-2.00M,-1.761B,-1.763B,9.465B,,,
1994-06,2.373B,,2.373B,3.115B,3.115B,,,,2.877B,,,,1.623B,9.988B,,,,,,15.90B,-5.872B,10.02B,,3.754B,3.754B,1.769B,15.55B,25.54B,,3.264B,,3.264B,,3.264B,,,,1.375B,1.375B,3.401B,8.04B,4.98B,,4.98B,347.00M,347.00M,,,3.336B,8.663B,16.70B,,1.942B,7.496B,,,1.942B,,,,,8.832B,,,
1994-03,2.424B,,2.424B,,3.238B,,,,2.955B,,,,1.895B,10.51B,,,,,,15.52B,-5.811B,9.706B,,3.782B,3.782B,1.718B,15.21B,25.72B,,6.274B,,6.274B,,6.274B,,,,1.812B,1.812B,,8.086B,5.139B,,5.139B,179.00M,179.00M,,,3.733B,9.051B,17.14B,,1.949B,7.333B,,,1.949B,,,,,8.581B,,,
1993-12,2.412B,,2.412B,,3.335B,,,,2.914B,,,,1.943B,10.60B,,,,,,15.09B,-5.60B,9.489B,,3.731B,3.731B,1.719B,14.94B,25.54B,,6.237B,,6.237B,,6.237B,,,,1.851B,1.851B,,8.088B,5.293B,,5.293B,152.00M,152.00M,,,3.743B,9.188B,17.28B,,1.959B,7.092B,,,1.959B,,,,,8.267B,,,
1993-09,2.215B,,2.215B,,3.452B,,,,3.013B,,,,1.842B,10.52B,,,,,,15.07B,-5.519B,9.547B,,3.731B,3.731B,1.622B,14.90B,25.42B,,6.284B,,6.284B,,6.284B,,,,1.984B,1.984B,,8.268B,5.181B,,5.181B,179.00M,179.00M,,,3.889B,9.249B,17.52B,,1.963B,6.68B,,,1.963B,,,,,7.905B,,,
1993-06,2.322B,,2.322B,,3.111B,,,,2.903B,,,,1.639B,9.975B,,,,,,14.88B,-5.392B,9.485B,,3.762B,3.762B,1.713B,14.96B,24.94B,,2.269B,,2.269B,,2.269B,,,,1.812B,1.812B,4.206B,8.287B,5.174B,,5.174B,183.00M,183.00M,,,3.85B,9.207B,17.49B,,1.969B,6.248B,,,1.969B,,,,,7.441B,,,
1993-03,2.742B,,2.742B,,3.086B,,,,3.001B,,,,963.00M,9.792B,,,,,,14.54B,-5.318B,9.227B,,3.734B,3.734B,1.652B,14.61B,24.40B,,5.298B,,5.298B,,5.298B,,,,2.249B,2.249B,,7.547B,5.087B,,5.087B,1.253B,1.253B,,,612.00M,6.952B,14.50B,,1.976B,8.665B,,,1.976B,,,,,9.906B,,,
1992-12,2.195B,,2.195B,,3.279B,,,,3.181B,,,,1.082B,9.737B,,,,,,14.59B,-5.391B,9.199B,,3.757B,3.757B,1.188B,14.14B,23.88B,,4.998B,,4.998B,,4.998B,,,,2.536B,2.536B,,7.534B,4.90B,,4.90B,1.308B,1.308B,,,590.00M,6.798B,14.33B,,1.98B,8.366B,,,1.98B,,,,,9.549B,,,
1992-09,1.62B,,1.62B,,3.487B,,,,3.571B,,,,1.053B,9.731B,,,,,,15.65B,-5.767B,9.881B,,3.86B,3.86B,1.17B,14.91B,24.64B,,5.889B,,5.889B,,5.889B,,,,2.189B,2.189B,,8.078B,5.05B,,5.05B,1.508B,1.508B,,,671.00M,7.229B,15.31B,,1.982B,8.019B,,,1.982B,,,,,9.335B,,,
1992-06,1.776B,,1.776B,,3.341B,,,,3.311B,,,,938.00M,9.366B,,,,,,15.18B,-5.488B,9.696B,,3.861B,3.861B,1.102B,14.66B,24.02B,,2.91B,,2.91B,,2.91B,,,,2.002B,2.002B,2.73B,7.642B,5.223B,,5.223B,1.483B,1.483B,,,606.00M,7.312B,14.95B,,1.986B,7.81B,,,1.986B,,,,,9.071B,,,
1992-03,1.72B,,1.72B,,3.183B,,,,3.656B,,,,1.117B,9.676B,,,,,,14.50B,-5.415B,9.087B,,3.881B,3.881B,1.197B,14.16B,23.84B,,5.358B,,5.358B,,5.358B,,,,2.817B,2.817B,,8.175B,4.773B,,4.773B,1.368B,1.368B,,,652.00M,6.793B,14.97B,,1.988B,7.694B,,,1.988B,,,,,8.873B,,,
1991-12,1.41B,,1.41B,,3.462B,,,,3.606B,,,,1.17B,9.648B,,,,,,14.47B,-5.381B,9.085B,,3.848B,3.848B,1.152B,14.08B,23.73B,,5.052B,,5.052B,,5.052B,,,,3.486B,3.486B,,8.538B,4.546B,,4.546B,1.318B,1.318B,,,694.00M,6.558B,15.10B,,1.991B,7.435B,,,1.991B,,,,,8.637B,,,
1991-09,1.339B,,1.339B,,3.499B,,,,3.315B,,,,1.078B,9.231B,,,,,,13.83B,-5.132B,8.694B,,3.83B,3.83B,1.03B,13.55B,22.78B,,5.112B,,5.112B,,5.112B,,,,3.014B,3.014B,,8.126B,4.522B,,4.522B,1.314B,1.314B,,,626.00M,6.462B,14.59B,,1.992B,7.113B,,,1.992B,,,,,8.197B,,,
1991-06,1.384B,,1.384B,,3.024B,,,,3.19B,,,,837.00M,8.435B,,,,,,13.03B,-4.761B,8.273B,,2.882B,2.882B,878.00M,12.03B,20.47B,,2.42B,,2.42B,,2.42B,,,,1.969B,1.969B,2.344B,6.733B,4.111B,,4.111B,1.31B,1.31B,,,578.00M,5.999B,12.73B,,1.995B,6.775B,,,1.995B,,,,,7.736B,,,
1991-03,1.285B,,1.285B,,2.828B,,,,3.399B,,,,869.00M,8.381B,,,,,,12.91B,-4.846B,8.062B,,2.919B,2.919B,788.00M,11.77B,20.15B,,4.528B,,4.528B,,4.528B,,,,1.232B,1.232B,,5.76B,4.142B,,4.142B,1.273B,1.273B,,,720.00M,6.135B,11.90B,,1.996B,7.246B,,,1.996B,,,,,8.255B,,,
1990-12,1.531B,,1.531B,,3.021B,,,,3.363B,,,,895.00M,8.81B,,,,,,12.92B,-4.878B,8.043B,,2.905B,2.905B,849.00M,11.80B,20.61B,,4.526B,,4.526B,,4.526B,,,,1.275B,1.275B,,5.801B,4.403B,,4.403B,1.255B,1.255B,,,798.00M,6.456B,12.26B,,1.997B,7.223B,,,1.997B,,,,,8.35B,,,
1990-09,1.352B,,1.352B,,3.107B,,,,3.158B,,,,813.00M,8.43B,,,,,,12.41B,-4.65B,7.76B,,2.912B,2.912B,865.00M,11.54B,19.97B,,4.736B,,4.736B,,4.736B,,,,1.671B,1.671B,,6.407B,3.532B,,3.532B,1.248B,1.248B,,,763.00M,5.543B,11.95B,,998.00M,6.959B,,,998.00M,,,,,8.017B,,,
1990-06,1.407B,,1.407B,,2.647B,,,,2.865B,,,,725.00M,7.644B,,,,,,11.79B,-4.353B,7.436B,,2.594B,2.594B,813.00M,10.84B,18.49B,,2.385B,,2.385B,,2.385B,,,,897.00M,897.00M,2.135B,5.417B,3.588B,,3.588B,706.00M,706.00M,,,1.258B,5.552B,10.97B,,1.00B,6.581B,,,1.00B,,,,,7.518B,,,
1990-03,1.372B,,1.372B,,2.609B,,,,2.80B,,,,791.00M,7.572B,,,,,,11.70B,-4.374B,7.33B,,2.393B,2.393B,938.00M,10.66B,18.23B,,4.50B,,4.50B,,4.50B,,,,1.029B,1.029B,,5.529B,3.491B,,3.491B,1.295B,1.295B,,,542.00M,5.328B,10.86B,,1.00B,6.508B,,,1.00B,,,,,7.376B,,,
1989-12,1.589B,,1.589B,,2.608B,,,,2.638B,,,,760.00M,7.595B,,,,,,11.40B,-4.208B,7.19B,,2.403B,2.403B,808.00M,10.40B,18.00B,,4.284B,,4.284B,,4.284B,,,,1.033B,1.033B,,5.317B,3.664B,,3.664B,1.314B,1.314B,,,534.00M,5.512B,10.83B,,1.00B,6.319B,,,1.00B,,,,,7.167B,,,
1989-06,1.587B,,1.587B,,2.09B,,,,2.337B,,,,564.00M,6.578B,,,,,,10.55B,-3.753B,6.793B,,2.305B,2.305B,675.00M,9.773B,16.35B,,,,,,,,,,633.00M,633.00M,4.023B,4.656B,3.698B,,3.698B,1.335B,1.335B,,,1.447B,6.48B,11.14B,,,5.587B,,,,,,,,5.215B,,,
1988-06,1.065B,,1.065B,,1.759B,,,,2.292B,,,,477.00M,5.593B,,,,,,7.117B,-339.20M,6.778B,,1.944B,1.944B,505.00M,9.227B,14.82B,,,,,,,,,,902.00M,902.00M,3.322B,4.224B,2.462B,,2.462B,1.322B,1.322B,,,475.00M,4.259B,8.483B,,,5.688B,,,,,,,,6.337B,,,
1987-06,741.00M,,741.00M,,1.557B,,,,2.164B,,,,519.00M,4.981B,,,,,,6.83B,-299.00M,6.531B,,1.683B,1.683B,520.00M,8.734B,13.72B,,,,,,,,,,500.00M,500.00M,2.958B,3.458B,2.524B,,2.524B,1.156B,1.156B,,,837.00M,4.517B,7.975B,,,5.17B,,,,,,,,5.74B,,,
1986-06,565.00M,,565.00M,,1.60B,,,,2.039B,,,,428.00M,4.632B,,,,,,8.95B,-2.628B,6.322B,,1.667B,1.667B,434.00M,8.423B,13.06B,,,,,,,,,,762.00M,762.00M,2.761B,3.523B,2.457B,,2.457B,1.121B,1.121B,,,250.00M,3.828B,7.351B,,,5.32B,,,,,,,,5.704B,,,
1985-06,478.00M,,478.00M,,1.205B,,,,1.754B,,,,379.00M,3.816B,,,,,,7.466B,-2.174B,5.292B,,575.00M,575.00M,,5.867B,9.683B,,,,,,,,,,399.00M,399.00M,2.19B,2.589B,877.00M,,877.00M,945.00M,945.00M,,,,1.822B,4.411B,,,5.07B,,,,,,,,5.272B,,,
1984-06,741.00M,,741.00M,,1.058B,,,,1.54B,,,,317.00M,3.656B,,,,,,6.646B,-1.978B,4.668B,,574.00M,574.00M,,5.242B,8.898B,,,,,,,,,,357.00M,357.00M,2.017B,2.374B,630.00M,,630.00M,814.00M,814.00M,,,,1.444B,3.818B,,,4.879B,,,,,,,,5.08B,,,
