,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2008-12,101.54M,,,,22.28M,22.28M,,4.539M,,4.539M,1.419M,,77.10M,42.47M,170.84M,-25.24M,,,-35.43M,11.06M,,-48.67M,15.80M,,15.80M,,-149.93M,-149.93M,,0.00,0.172M,0.04M,-133.92M,230.74M,-11.75M,-4.004M,214.99M,,15.80M,,-149.93M,124.93M,39.18M
2008-09,116.48M,,,,23.34M,23.34M,,4.581M,,4.581M,0.00,,-39.53M,-39.53M,104.87M,-83.04M,,,-0.899M,-5.445M,50.50M,-38.88M,-48.17M,,-48.17M,,0.00,0.00,,-5.30M,18.13M,16.29M,-19.05M,188.76M,46.93M,-4.952M,230.74M,,-48.17M,,0.00,-72.10M,-19.88M
2008-06,112.42M,,,,22.91M,22.91M,,3.994M,,3.994M,0.00,,-43.13M,-43.13M,96.20M,,,,-29.03M,-4.389M,-30.59M,-64.01M,-32.83M,,-32.83M,,0.00,0.00,,-2.635M,8.415M,4.711M,-22.34M,180.16M,9.852M,-1.245M,188.76M,,-32.83M,,0.00,50.48M,9.871M
2008-03,99.13M,,,,22.77M,22.77M,,3.202M,,3.202M,0.00,,-15.49M,-15.49M,109.62M,,,,-70.44M,-4.162M,-19.91M,-94.52M,127.11M,,127.11M,,-143.69M,-143.69M,,-2.682M,0.367M,0.27M,-18.63M,183.64M,-3.535M,0.049M,180.16M,,127.11M,,-143.69M,21.61M,10.01M
2007-12,99.99M,-0.165M,-60.39M,-0.54M,21.42M,21.42M,,,,68.41M,,,-11.01M,-56.63M,133.02M,-27.09M,4.475M,-22.62M,-109.94M,3.274M,,-129.28M,,,5.465M,-25.46M,-6.514M,-31.98M,,-2.674M,,4.818M,10.18M,164.59M,13.93M,,183.64M,-25.46M,,,-6.514M,,
2007-09,91.50M,0.165M,20.71M,0.181M,20.89M,20.89M,,,,-61.96M,,,58.60M,58.60M,109.20M,-25.25M,0.379M,-24.87M,-31.78M,-0.426M,,-57.08M,,,30.65M,5.811M,-35.13M,-29.32M,,-2.68M,,3.156M,1.801M,110.67M,53.92M,,164.59M,5.811M,,,-35.13M,,
2007-06,84.00M,,20.80M,0.18M,20.98M,20.98M,,,,3.002M,,,-24.76M,-24.76M,83.22M,-28.80M,0.50M,-28.30M,-15.24M,-2.201M,,-45.74M,,,-2.008M,16.68M,-37.96M,-21.29M,,-2.672M,,14.08M,-11.89M,85.09M,25.58M,,110.67M,16.68M,,,-37.96M,,
2007-03,77.70M,,18.88M,0.179M,19.06M,19.06M,,,,2.99M,,,-37.30M,-37.30M,62.46M,-22.63M,,-22.63M,-22.34M,-2.007M,,-46.98M,,,7.518M,2.975M,-13.98M,-11.01M,,-2.684M,,1.642M,-4.532M,74.14M,10.95M,,85.09M,2.975M,,,-13.98M,,
2006-12,78.38M,-0.532M,17.86M,0.136M,18.00M,18.00M,,,,44.42M,,,7.092M,-62.12M,75.61M,-24.90M,1.595M,-23.30M,-3.67M,,,-26.97M,,,-8.395M,8.643M,-39.22M,-30.57M,,-2.679M,,4.384M,-37.26M,62.76M,11.37M,,74.14M,8.643M,,,-39.22M,,
2006-09,66.70M,-14.53M,18.25M,0.134M,18.38M,18.38M,,,,-29.38M,,,29.84M,29.84M,71.01M,-23.59M,2.482M,-21.11M,-3.955M,,,-25.06M,,,-18.00M,3.476M,-13.23M,-9.75M,,-2.681M,,1.33M,-29.11M,45.92M,16.84M,,62.76M,3.476M,,,-13.23M,,
