,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1996-06,870.00M,,870.00M,,,,,2.133B,,,,,1.441B,,,,2.047B,6.491B,,,,,,,5.639B,-2.068B,3.571B,,1.476B,1.476B,,,,2.081B,7.128B,13.62B,,652.00M,,,652.00M,,652.00M,,,2.545B,2.545B,,,2.651B,5.848B,583.00M,583.00M,157.00M,157.00M,,,49.00M,998.00M,1.738B,7.586B,,,7.194B,,,,,,,5.984B,,,
1996-03,818.00M,,818.00M,,,,,2.221B,,,,,1.502B,,,,1.865B,6.406B,,,,,,,5.543B,-2.022B,3.521B,,1.327B,1.327B,,,,1.92B,6.768B,13.17B,,602.00M,,,602.00M,,602.00M,,,2.339B,2.339B,,,2.541B,5.482B,584.00M,584.00M,186.00M,186.00M,,,48.00M,986.00M,1.756B,7.238B,,,7.184B,,,,,,,5.888B,,,
1995-12,403.30M,,403.30M,,,,,2.024B,,,,,1.384B,,,,2.341B,6.152B,,,,,,,5.463B,-1.991B,3.473B,,1.243B,1.243B,,,,1.861B,6.577B,12.73B,,715.30M,,,715.30M,,715.30M,,,2.036B,2.036B,,,2.436B,5.187B,833.00M,833.00M,166.10M,166.10M,,,46.60M,989.80M,1.989B,7.176B,,,6.859B,,,,,,,5.507B,,,
1995-09,733.60M,,733.60M,,,,,1.998B,,,,,1.349B,,,,2.056B,6.137B,,,,,,,5.502B,-2.028B,3.474B,,1.174B,1.174B,,,,2.036B,6.684B,12.82B,,636.00M,,,636.00M,,636.00M,,,3.046B,3.046B,,,2.117B,5.799B,358.20M,358.20M,249.70M,249.70M,,,46.10M,1.086B,1.694B,7.494B,,,6.614B,,,,,,,5.281B,,,
1995-06,623.60M,,623.60M,,,,,2.083B,,,,,1.467B,,,,1.808B,5.982B,,,,,,,5.713B,-2.123B,3.590B,,1.218B,1.218B,,,,2.155B,6.963B,12.95B,,715.10M,,,715.10M,,715.10M,,,3.060B,3.060B,,,2.328B,6.102B,611.20M,611.20M,254.30M,254.30M,,,44.80M,1.103B,1.969B,8.071B,,,6.189B,,,,,,,4.829B,,,
1995-03,967.00M,,967.00M,,,,,1.968B,,,,,1.408B,,,,1.482B,5.825B,,,,,,,5.441B,-2.010B,3.431B,,1.212B,1.212B,,,,2.048B,6.691B,12.52B,,573.20M,,,573.20M,,573.20M,,,3.115B,3.115B,,,2.089B,5.777B,609.90M,609.90M,298.30M,298.30M,,,40.70M,1.092B,2.000B,7.778B,,,6.201B,,,,,,,4.697B,,,
1994-12,1.458B,,1.458B,,,,,1.665B,,,,,1.265B,,,,1.40B,5.788B,,,,,,,4.993B,-1.920B,3.073B,,325.70M,325.70M,,,,1.911B,5.310B,11.10B,,524.90M,,,524.90M,,524.90M,,,2.22B,2.22B,,,2.081B,4.826B,604.20M,604.20M,211.70M,211.70M,,,38.80M,1.094B,1.910B,6.736B,,,5.944B,,,,,,,4.324B,,,
1994-09,894.20M,,894.20M,,,,,1.642B,,,,,1.268B,,,,1.622B,5.426B,,,,,,,4.841B,-1.899B,2.942B,,291.90M,291.90M,,,,1.742B,4.976B,10.40B,,432.90M,,,432.90M,,432.90M,,,1.797B,1.797B,,,1.909B,4.139B,586.30M,586.30M,257.50M,257.50M,,,37.90M,1.227B,2.071B,6.210B,,,5.758B,,,,,,,4.154B,,,
1994-06,804.10M,,804.10M,,,,,1.549B,,,,,1.240B,,,,1.579B,5.172B,,,,,,,4.635B,-1.829B,2.806B,,288.70M,288.70M,,,,1.834B,4.928B,10.10B,,427.10M,,,427.10M,,427.10M,,,1.836B,1.836B,,,2.023B,4.286B,570.20M,570.20M,239.20M,239.20M,,,36.80M,1.220B,2.029B,6.315B,,,5.421B,,,,,,,3.748B,,,
1994-03,796.80M,,796.80M,,,,,1.570B,,,,,1.174B,,,,1.402B,4.943B,,,,,,,4.454B,-1.761B,2.693B,,261.10M,261.10M,,,,1.744B,4.698B,9.641B,,449.00M,,,449.00M,,449.00M,,,1.518B,1.518B,,,1.783B,3.750B,570.10M,570.10M,230.60M,230.60M,,,35.50M,1.215B,2.016B,5.766B,,,5.461B,,,,,,,3.840B,,,
1993-12,729.40M,,729.40M,,,,,1.469B,,,,,1.094B,,,,1.442B,4.733B,,,,,,,4.301B,-1.668B,2.632B,,231.10M,231.10M,,,,1.734B,4.598B,9.331B,,479.10M,,,479.10M,,479.10M,,,1.179B,1.179B,,,1.786B,3.444B,570.50M,570.50M,189.40M,189.40M,,,39.30M,1.223B,1.982B,5.426B,,,5.241B,,,,,,,3.866B,,,
1993-09,1.228B,,1.228B,,,,,1.521B,,,,,1.129B,,,,1.819B,5.697B,,,,,,,4.186B,-1.646B,2.540B,,234.20M,234.20M,,,,1.412B,4.186B,9.882B,,394.60M,,,394.60M,,394.60M,,,2.220B,2.220B,,,1.531B,4.146B,572.90M,572.90M,50.90M,50.90M,,,40.60M,1.250B,1.873B,6.020B,,,5.087B,,,,,,,3.822B,,,
1993-06,1.160B,,1.160B,,,,,1.513B,,,,,1.192B,,,,1.882B,5.747B,,,,,,,4.032B,-1.552B,2.480B,,1.193B,1.193B,,,,598.40M,4.272B,10.02B,,384.30M,,,384.30M,,384.30M,,,2.161B,2.161B,,,1.551B,4.096B,574.40M,574.40M,652.00M,652.00M,,,34.10M,453.70M,1.680B,5.776B,,,5.299B,,,,,,,4.208B,,,
1993-03,1.019B,,1.019B,,,,,1.506B,,,,,1.111B,,,,1.800B,5.436B,,,,,,,3.894B,-1.552B,2.342B,,358.40M,358.40M,,,,1.588B,4.288B,9.724B,,381.30M,,,381.30M,,381.30M,,,1.840B,1.840B,,,1.395B,3.616B,573.60M,573.60M,140.80M,140.80M,,,35.10M,905.80M,1.620B,5.237B,,,5.313B,,,,,,,4.452B,,,
1992-12,1.257B,,1.257B,,,,,1.400B,,,,,1.068B,,,,1.660B,5.385B,,,,,,,3.816B,-1.511B,2.305B,,368.20M,368.20M,,,,1.532B,4.205B,9.590B,,456.40M,,,456.40M,,456.40M,,,1.252B,1.252B,,,1.509B,3.217B,571.30M,571.30M,146.90M,146.90M,,,34.90M,901.00M,1.619B,4.837B,,,5.119B,,,,,,,4.719B,,,
1992-09,1.080B,,1.080B,,,,,1.586B,,,,,1.234B,,,,1.740B,5.640B,,,,,,,4.333B,-1.708B,2.624B,,361.50M,361.50M,,,,1.505B,4.491B,10.13B,,437.40M,,,437.40M,,437.40M,,,1.272B,1.272B,,,1.514B,3.224B,591.60M,591.60M,30.40M,30.40M,,,33.80M,780.20M,1.402B,4.626B,,,5.225B,,,,,,,5.470B,,,
1992-06,941.90M,,941.90M,,,,,1.460B,,,,,1.168B,,,,1.434B,5.003B,,,,,,,4.042B,-1.612B,2.430B,,344.50M,344.50M,,,,1.778B,4.552B,9.555B,,446.10M,,,446.10M,,446.10M,,,1.056B,1.056B,,,1.656B,3.158B,581.00M,581.00M,289.60M,289.60M,,,32.50M,459.50M,1.330B,4.488B,,,4.928B,,,,,,,5.034B,,,
1992-03,1.066B,,1.066B,,,,,1.484B,,,,,1.165B,,,,991.90M,4.707B,,,,,,,4.027B,-1.636B,2.391B,,364.10M,364.10M,,,,2.005B,4.761B,9.468B,,440.20M,,,440.20M,,440.20M,,,1.292B,1.292B,,,1.314B,3.046B,579.80M,579.80M,283.40M,283.40M,,,34.30M,460.70M,1.324B,4.37B,,,4.968B,,,,,,,5.063B,,,
1991-12,1.318B,,1.318B,,,,,1.404B,,,,,1.172B,,,,915.20M,4.808B,,,,,,,4.008B,-1.626B,2.381B,,383.60M,383.60M,,,,2.062B,4.826B,9.635B,,462.90M,,,462.90M,,462.90M,,,1.691B,1.691B,,,1.266B,3.420B,396.60M,396.60M,284.80M,284.80M,,,34.40M,472.00M,1.153B,4.574B,,,4.795B,,,,,,,5.026B,,,
1991-09,673.50M,,673.50M,,,,,1.494B,,,,,1.189B,,,,1.006B,4.363B,,,,,,,3.822B,-1.579B,2.243B,,479.10M,479.10M,,,,1.923B,4.645B,9.008B,,401.30M,,,401.30M,,401.30M,,,1.668B,1.668B,,,1.158B,3.228B,148.90M,148.90M,335.30M,335.30M,,,32.10M,194.00M,678.20M,3.906B,,,4.903B,,,,,,,5.070B,,,
1991-06,675.80M,,675.80M,,,,,1.384B,,,,,1.202B,,,,1.100B,4.361B,,,,,,,3.702B,-1.540B,2.162B,,483.10M,483.10M,,,,1.820B,4.464B,8.826B,,411.00M,,,411.00M,,411.00M,,,1.558B,1.558B,,,1.292B,3.262B,157.20M,157.20M,331.00M,331.00M,,,31.70M,216.10M,704.30M,3.966B,,,4.628B,,,,,,,4.828B,,,
1991-03,608.90M,,608.90M,,,,,1.491B,,,,,1.180B,,,,976.00M,4.256B,,,,,,,3.725B,-1.556B,2.168B,,496.50M,496.50M,,,,1.892B,4.557B,8.814B,,427.40M,,,427.40M,,427.40M,,,1.261B,1.261B,,,1.138B,2.826B,177.20M,177.20M,354.00M,354.00M,,,29.50M,248.20M,779.40M,3.606B,,,4.668B,,,,,,,5.178B,,,
1990-12,870.30M,,870.30M,,,,,1.377B,,,,,1.143B,,,,1.046B,4.436B,,,,,,,3.616B,-1.506B,2.110B,,498.70M,498.70M,,,,2.008B,4.616B,9.052B,,450.30M,,,450.30M,,450.30M,,,1.499B,1.499B,,,1.167B,3.117B,193.30M,193.30M,351.80M,351.80M,,,28.70M,269.30M,814.40M,3.931B,,,4.510B,,,,,,,5.092B,,,
1990-09,307.90M,,307.90M,,,,,1.446B,,,,,1.215B,,,,914.70M,3.884B,,,,,,,3.684B,-1.569B,2.115B,,1.030B,1.030B,,,,1.500B,4.646B,8.530B,,418.00M,,,418.00M,,418.00M,,,1.258B,1.258B,,,999.00M,2.675B,189.90M,189.90M,457.60M,457.60M,,,29.30M,164.00M,811.50M,3.487B,,,4.051B,,,,,,,5.014B,,,
1990-06,399.10M,,399.10M,,,,,1.281B,,,,,1.169B,,,,1.114B,3.963B,,,,,,,3.518B,-1.569B,1.949B,,470.80M,470.80M,,,,1.718B,4.138B,8.100B,,379.00M,,,379.00M,,379.00M,,,1.089B,1.089B,,,1.110B,2.578B,181.80M,181.80M,323.20M,323.20M,,,26.70M,310.70M,815.70M,3.394B,,,4.211B,,,,,,,4.680B,,,
1990-03,388.90M,,388.90M,,,,,1.295B,,,,,1.125B,,,,1.237B,4.046B,,,,,,,3.398B,-1.535B,1.863B,,471.20M,471.20M,,,,1.574B,3.909B,7.955B,,370.90M,,,370.90M,,370.90M,,,990.20M,990.20M,,,990.70M,2.352B,189.60M,189.60M,319.20M,319.20M,,,25.60M,328.20M,837.00M,3.189B,,,4.258B,,,,,,,4.740B,,,
1989-12,825.40M,,825.40M,,,,,2.065B,,,,,1.080B,,,,534.00M,4.505B,,,,,,,3.252B,-1.468B,1.784B,,430.00M,430.00M,,,,1.606B,3.82B,8.325B,,401.40M,,,401.40M,,401.40M,,,1.526B,1.526B,,,983.90M,2.912B,190.60M,190.60M,311.60M,311.60M,,,24.10M,351.10M,853.30M,3.765B,,,4.105B,,,,,,,4.536B,,,
1988-12,807.50M,,807.50M,,,,,1.167B,,,,,1.089B,,,,1.031B,4.095B,,,,,,,3.154B,-1.498B,1.655B,,419.40M,419.40M,,,,1.468B,3.543B,7.638B,,,,,,,,,,967.70M,967.70M,,,1.377B,2.344B,226.90M,226.90M,312.70M,312.70M,,,,452.60M,992.20M,3.336B,,,3.697B,,,,,,,4.301B,,,
1987-12,1.031B,,1.031B,,,,,1.184B,,,,,1.028B,,,,857.00M,4.101B,,,,,,,2.876B,-1.37B,1.506B,,237.90M,237.90M,,,,1.078B,2.822B,6.923B,,,,,,,,,,714.90M,714.90M,,,1.242B,1.957B,248.90M,248.90M,317.70M,317.70M,,,,517.00M,1.084B,3.040B,,,3.327B,,,,,,,3.882B,,,
1986-12,398.60M,,398.60M,,,,,960.90M,,,,,889.20M,,,,91.20M,2.340B,,,,,,,2.542B,-1.191B,1.351B,,217.00M,217.00M,,,,1.256B,2.824B,5.164B,,,,,,,,,,271.30M,271.30M,,,899.30M,1.171B,285.40M,285.40M,203.60M,203.60M,,,,88.80M,577.80M,1.748B,,,2.934B,,,,,,,3.415B,,,
1985-12,412.60M,,412.60M,,,,,813.10M,,,,,801.40M,,,,130.90M,2.158B,,,,,,,2.303B,-1.035B,1.268B,,121.40M,121.40M,,,,915.20M,2.305B,4.463B,,,,,,,,,,185.90M,185.90M,,,773.80M,959.70M,323.50M,323.50M,170.00M,170.00M,,,,82.40M,575.90M,1.536B,,,2.543B,,,,,,,2.927B,,,
1984-12,880.90M,,880.90M,,,,,682.60M,,,,,736.00M,,,,138.90M,2.438B,,,,,,,2.046B,-890.30M,1.156B,,119.40M,119.40M,,,,333.70M,1.609B,4.047B,,,,,,,,,,298.90M,298.90M,,,784.70M,1.084B,338.30M,338.30M,67.80M,67.80M,,,,72.90M,479.00M,1.563B,,,2.197B,,,,,,,2.484B,,,
