,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1992-09,31.50M,31.50M,,,104.30M,,,,129.10M,,,7.30M,272.20M,,,,,,282.70M,-90.20M,192.50M,,,,,,43.30M,235.80M,508.00M,,,,,,,,,,53.90M,53.90M,,,75.30M,129.20M,122.40M,,122.40M,24.20M,24.20M,,,,146.60M,275.80M,,,181.50M,,,,,,232.20M,,,
1992-06,29.30M,29.30M,,,108.90M,,,,120.70M,,,7.60M,266.50M,,,,,,279.10M,-90.20M,188.90M,,,,,,42.90M,231.80M,498.30M,,57.40M,,,57.40M,,57.40M,,,56.40M,56.40M,,,12.90M,126.70M,119.20M,,119.20M,22.80M,22.80M,,,-0.10M,141.90M,268.60M,,,181.50M,,,,,,229.70M,,,
1992-03,17.10M,17.10M,,,107.30M,,,,121.20M,,,8.00M,253.60M,,,,,,277.40M,-90.20M,187.20M,,,,,,41.10M,228.30M,481.90M,,54.10M,,,54.10M,,54.10M,,,52.00M,52.00M,,,14.20M,120.30M,117.90M,,117.90M,22.50M,22.50M,,,,140.40M,260.70M,,,174.70M,,,,,,221.20M,,,
1991-12,24.50M,24.50M,,,105.10M,,,,117.40M,,,8.00M,255.00M,,,,,,269.00M,-90.20M,178.80M,,,,,,43.90M,222.70M,477.70M,,34.90M,,,34.90M,,34.90M,,,12.40M,12.40M,,,76.10M,123.40M,119.40M,,119.40M,23.20M,23.20M,,,,142.60M,266.00M,,,168.40M,,,,,,211.70M,,,
1991-09,45.50M,45.50M,,,88.00M,,,,105.00M,,,3.90M,242.40M,,,,,,234.10M,-76.10M,158.00M,,21.20M,21.20M,,,13.60M,192.80M,435.20M,,48.10M,,,48.10M,,48.10M,,,49.00M,49.00M,,,11.40M,108.50M,101.90M,,101.90M,19.80M,19.80M,,,0.10M,121.80M,230.30M,,,150.60M,,,,,,204.90M,,,
1991-06,41.20M,41.20M,,,81.80M,,,,102.00M,,,6.50M,231.50M,,,,,,227.90M,-76.10M,151.80M,,18.90M,18.90M,,,14.00M,184.70M,416.20M,,45.80M,,,45.80M,,45.80M,,,38.40M,38.40M,,,11.60M,95.80M,99.20M,,99.20M,19.60M,19.60M,,,,118.80M,214.60M,,,150.60M,,,,,,201.60M,,,
1991-03,42.10M,42.10M,,,84.10M,,,,101.10M,,,5.40M,232.70M,,,,,,227.70M,-76.10M,151.60M,,18.50M,18.50M,,,10.00M,180.10M,412.80M,,42.70M,,,42.70M,,42.70M,,,36.70M,36.70M,,,13.70M,93.10M,103.70M,,103.70M,21.20M,21.20M,,,-0.10M,124.80M,217.90M,,,150.60M,,,,,,194.90M,,,
1990-12,44.30M,44.30M,,,87.80M,,,,98.50M,,,6.30M,236.90M,,,,,,235.70M,-76.10M,159.60M,,,,,,28.60M,188.20M,425.10M,,37.70M,,,37.70M,,37.70M,,,38.90M,38.90M,,,26.40M,103.00M,112.90M,,112.90M,21.20M,21.20M,,,0.10M,134.20M,237.20M,,,150.60M,,,,,,187.90M,,,
1990-09,37.80M,37.80M,,,,,,,,,,181.00M,218.80M,,,,,,214.00M,-59.50M,154.50M,,,,,,27.90M,182.40M,401.20M,,,,,,,,,,,,,,,87.50M,113.70M,,113.70M,19.60M,19.60M,,,0.20M,133.50M,221.00M,,,127.80M,,,,,,180.20M,,,
1990-06,34.80M,34.80M,,,,,,,,,,178.10M,212.90M,,,,,,208.50M,-59.50M,149.00M,,,,,,27.00M,176.00M,388.90M,,,,,,,,,,,,,,,87.00M,109.30M,,109.30M,19.20M,19.20M,,,,128.50M,215.50M,,,127.80M,,,,,,173.40M,,,
1990-03,22.70M,22.70M,,,,,,,,,,180.90M,203.60M,,,,,,205.50M,-59.50M,146.00M,,,,,,26.60M,172.60M,376.20M,,,,,,,,,,,,,,,84.90M,105.80M,,105.80M,18.50M,18.50M,,,,124.30M,209.20M,,,127.80M,,,,,,167.00M,,,
1989-12,18.40M,18.40M,,,82.00M,,,,88.60M,,,5.30M,194.30M,,,,,,205.60M,-59.50M,146.10M,,17.80M,17.80M,,,8.50M,172.40M,366.70M,,31.50M,,,31.50M,,31.50M,,,7.40M,7.40M,,,43.10M,82.00M,106.10M,,106.10M,18.50M,18.50M,,,0.10M,124.70M,206.70M,,,127.80M,,,,,,160.00M,,,
1988-12,33.20M,33.20M,,,67.00M,,,,57.70M,,,2.70M,160.60M,,,,,,142.90M,-48.10M,94.80M,,,,,,8.70M,103.50M,264.10M,,,,,,,,,,13.60M,13.60M,,,48.70M,62.30M,57.10M,,57.10M,8.40M,8.40M,,,,65.50M,127.80M,,,105.90M,,,,,,136.30M,,,
1987-12,26.20M,26.20M,,,58.00M,,,,53.10M,,,2.50M,139.80M,,,,,,121.30M,-41.50M,79.80M,,,,,,6.30M,86.10M,225.90M,,,,,,,,,,12.30M,12.30M,,,37.20M,49.50M,55.00M,,55.00M,5.90M,5.90M,,,,60.90M,110.40M,,,86.00M,,,,,,115.50M,,,
1986-12,24.20M,24.20M,,,44.10M,,,,41.80M,,,1.90M,112.00M,,,,,,102.00M,-31.20M,70.80M,,,,,,2.40M,73.20M,185.20M,,,,,,,,,,4.80M,4.80M,,,37.40M,42.20M,37.60M,,37.60M,4.80M,4.80M,,,,42.40M,84.60M,,,69.90M,,,,,,100.60M,,,
1985-12,31.00M,31.00M,,,33.40M,,,,26.90M,,,0.90M,92.20M,,,,,,60.90M,-24.70M,36.20M,,,,,,8.50M,44.70M,136.90M,,,,,,,,,,2.30M,2.30M,,,23.10M,25.40M,23.50M,,23.50M,3.70M,3.70M,,,,27.20M,52.60M,,,60.80M,,,,,,84.30M,,,
1984-12,21.50M,21.50M,,,26.50M,,,,27.20M,,,0.60M,75.80M,,,,,,53.30M,-21.30M,32.00M,,,,,,1.50M,33.50M,109.30M,,,,,,,,,,2.00M,2.00M,,,17.80M,19.80M,14.10M,,14.10M,2.80M,2.80M,,,,16.90M,36.70M,,,49.90M,,,,,,72.60M,,,
