,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1995-03,87.00M,87.00M,,1.952B,,,,1.079B,,,281.00M,3.399B,,,,,,3.19B,-1.736B,1.454B,,794.00M,794.00M,,1.518B,3.766B,7.165B,,830.00M,830.00M,,830.00M,,,,,1.588B,1.588B,,,899.00M,3.317B,1.024B,,1.024B,,,,96.00M,953.00M,1.977B,5.294B,,,1.804B,,,,,,1.775B,,,
1994-12,72.00M,72.00M,,1.867B,,,,838.00M,,,301.00M,3.078B,,,,,,3.101B,-1.661B,1.44B,,730.00M,730.00M,,1.407B,3.577B,6.655B,,843.00M,843.00M,,843.00M,,,,,1.201B,1.201B,,,944.00M,2.988B,885.00M,,885.00M,481.00M,481.00M,,95.00M,483.00M,1.849B,4.837B,,,1.754B,,,,,,1.723B,,,
1994-09,101.00M,101.00M,,1.872B,,,,917.00M,,,278.00M,3.168B,,,,,,3.006B,-1.646B,1.36B,,746.00M,746.00M,,1.201B,3.307B,6.475B,,764.00M,764.00M,,764.00M,,,,,1.219B,1.219B,,,872.00M,2.855B,882.00M,,882.00M,,,,98.00M,748.00M,1.63B,4.485B,,,1.867B,,,,,,1.892B,,,
1994-06,60.00M,60.00M,,1.913B,,,,944.00M,,,206.00M,3.123B,,,,,,2.919B,-1.588B,1.331B,,738.00M,738.00M,,1.20B,3.269B,6.392B,,774.00M,774.00M,,774.00M,,,,,1.233B,1.233B,,,890.00M,2.897B,871.00M,,871.00M,,,,99.00M,713.00M,1.584B,4.481B,,,1.792B,,,,,,1.812B,,,
1994-03,29.00M,29.00M,,1.796B,,,,862.00M,,,252.00M,2.939B,,,,,,2.769B,-1.482B,1.287B,,706.00M,706.00M,,1.251B,3.244B,6.183B,,723.00M,723.00M,,723.00M,,,,,1.297B,1.297B,,,807.00M,2.827B,828.00M,,828.00M,,,,98.00M,685.00M,1.513B,4.34B,,,1.731B,,,,,,1.745B,,,
1993-12,88.00M,88.00M,,1.68B,,,,760.00M,,,180.00M,2.708B,,,,,,2.836B,-1.517B,1.319B,,725.00M,725.00M,,1.295B,3.339B,6.047B,,742.00M,742.00M,,742.00M,,,,,992.00M,992.00M,,,1.029B,2.763B,840.00M,,840.00M,167.00M,167.00M,,92.00M,537.00M,1.544B,4.307B,,,1.686B,,,,,,1.648B,,,
1993-09,153.00M,153.00M,,1.836B,,,,722.00M,,,178.00M,2.889B,,,,,,2.774B,-1.515B,1.259B,,768.00M,768.00M,,1.226B,3.253B,6.142B,,680.00M,680.00M,,680.00M,,,,,1.271B,1.271B,,,902.00M,2.853B,892.00M,,892.00M,,,,88.00M,719.00M,1.611B,4.464B,,,1.64B,,,,,,1.59B,,,
1993-06,59.00M,59.00M,,1.869B,,,,829.00M,,,159.00M,2.916B,,,,,,2.751B,-1.488B,1.263B,,750.00M,750.00M,,1.233B,3.246B,6.162B,,767.00M,767.00M,,767.00M,,,,,1.30B,1.30B,,,823.00M,2.89B,1.089B,,1.089B,,,,,706.00M,1.795B,4.685B,,,1.592B,,,,,,1.477B,,,
1993-03,74.00M,74.00M,,1.835B,,,,767.00M,,,151.00M,2.827B,,,,,,2.714B,-1.43B,1.284B,,794.00M,794.00M,,1.255B,3.333B,6.16B,,705.00M,705.00M,,705.00M,,,,,1.448B,1.448B,,,765.00M,2.918B,1.138B,,1.138B,,,,,688.00M,1.826B,4.744B,,,1.539B,,,,,,1.416B,,,
1992-12,66.00M,66.00M,,1.831B,,,,650.00M,,,193.00M,2.74B,,,,,,2.713B,-1.388B,1.325B,,795.00M,795.00M,,1.258B,3.378B,6.118B,,688.00M,688.00M,,688.00M,,,,,1.453B,1.453B,,,746.00M,2.887B,1.215B,,1.215B,213.00M,213.00M,,,203.00M,1.631B,4.518B,,,1.721B,,,,,,1.60B,,,
1992-09,51.00M,51.00M,,2.001B,,,,782.00M,,,171.00M,3.005B,,,,,,2.811B,-1.431B,1.38B,,920.00M,920.00M,,1.301B,3.601B,6.606B,,727.00M,727.00M,,727.00M,,,,,1.467B,1.467B,,,809.00M,3.003B,1.538B,,1.538B,,,,,497.00M,2.035B,5.038B,,,1.679B,,,,,,1.568B,,,
1992-06,67.00M,67.00M,,2.094B,,,,898.00M,,,165.00M,3.224B,,,,,,2.799B,-1.398B,1.401B,,892.00M,892.00M,,1.291B,3.584B,6.808B,,768.00M,768.00M,,768.00M,,,,,1.707B,1.707B,,,768.00M,3.243B,1.503B,,1.503B,,,,,501.00M,2.004B,5.247B,,,1.643B,,,,,,1.561B,,,
1992-03,58.00M,58.00M,,1.963B,,,,820.00M,,,157.00M,2.998B,,,,,,2.661B,-1.312B,1.349B,,846.00M,846.00M,,1.273B,3.468B,6.466B,,756.00M,756.00M,,756.00M,,,,,1.541B,1.541B,,,758.00M,3.055B,1.415B,,1.415B,,,,,464.00M,1.879B,4.934B,,,1.609B,,,,,,1.532B,,,
1991-12,42.00M,42.00M,,2.036B,,,,698.00M,,,144.00M,2.92B,,,,,,2.69B,-1.29B,1.40B,,909.00M,909.00M,,1.216B,3.525B,6.445B,,742.00M,742.00M,,742.00M,,,,,1.496B,1.496B,,,693.00M,2.931B,1.528B,,1.528B,166.00M,166.00M,,2.00M,303.00M,1.997B,4.928B,,,1.593B,,,,,,1.515B,,,
1991-09,66.00M,66.00M,,2.145B,,,,665.00M,,,141.00M,3.017B,,,,,,2.103B,-834.00M,1.269B,,855.00M,855.00M,,1.021B,3.145B,6.162B,,636.00M,636.00M,,636.00M,,,,,1.632B,1.632B,,,721.00M,2.989B,1.22B,,1.22B,,,,2.00M,455.00M,1.675B,4.664B,,,1.572B,,,,,,1.496B,,,
1991-06,101.00M,101.00M,,2.184B,,,,741.00M,,,138.00M,3.164B,,,,,,1.902B,-687.00M,1.215B,,,,,1.378B,2.593B,5.757B,,638.00M,638.00M,,638.00M,,,,,1.369B,1.369B,,,706.00M,2.713B,1.009B,,1.009B,,,,149.00M,421.00M,1.43B,4.143B,,,1.543B,,,,,,1.465B,,,
1991-03,81.00M,81.00M,,1.864B,,,,799.00M,,,116.00M,2.86B,,,,,,1.943B,-687.00M,1.256B,,,,,1.352B,2.608B,5.468B,,576.00M,576.00M,,576.00M,,,,,1.332B,1.332B,,,696.00M,2.604B,850.00M,,850.00M,,,,159.00M,430.00M,1.28B,3.884B,,,1.498B,,,,,,1.425B,,,
1990-12,78.00M,78.00M,,1.886B,,,,801.00M,,,135.00M,2.90B,,,,,,2.036B,-687.00M,1.349B,,437.00M,437.00M,,928.00M,2.714B,5.614B,,580.00M,580.00M,,580.00M,,,,,122.00M,122.00M,,,1.949B,2.651B,874.00M,,874.00M,167.00M,167.00M,,176.00M,322.00M,1.363B,4.014B,,,1.499B,,,,,,1.424B,,,
1990-09,103.00M,103.00M,,2.072B,,,,836.00M,,,151.00M,3.162B,,,,,,2.012B,-701.00M,1.311B,,,,,1.291B,2.602B,5.764B,,581.00M,581.00M,,581.00M,,,,,1.421B,1.421B,,,628.00M,2.63B,974.00M,,974.00M,,,,168.00M,489.00M,1.463B,4.093B,,,1.572B,,,,,,1.503B,,,
1990-06,67.00M,67.00M,,2.068B,,,,975.00M,,,170.00M,3.28B,,,,,,1.953B,-658.00M,1.295B,,,,,1.226B,2.521B,5.801B,,613.00M,613.00M,,613.00M,,,,,1.485B,1.485B,,,593.00M,2.691B,976.00M,,976.00M,,,,210.00M,472.00M,1.448B,4.139B,,,1.531B,,,,,,1.452B,,,
1990-03,73.60M,73.60M,,1.839B,,,,951.90M,,,151.70M,3.016B,,,,,,1.888B,-600.10M,1.287B,,,,,1.219B,2.506B,5.522B,,608.40M,608.40M,,608.40M,,,,,1.242B,1.242B,,,577.60M,2.428B,978.70M,,978.70M,,,,199.90M,482.80M,1.462B,3.889B,,,1.513B,,,,,,1.433B,,,
1989-12,141.00M,141.00M,,1.758B,,,,883.90M,,,106.10M,2.889B,,,,,,1.832B,-543.40M,1.288B,,350.30M,350.30M,,825.80M,2.464B,5.354B,,,,,,,,,,1.141B,1.141B,,,1.111B,2.251B,982.30M,,982.30M,184.40M,184.40M,,,514.10M,1.681B,3.932B,,,1.503B,,,,,,1.421B,,,
1988-12,143.40M,143.40M,,1.060B,,,,536.80M,,,86.60M,1.827B,,,,,,1.225B,-404.70M,819.90M,,110.80M,110.80M,,651.70M,1.582B,3.410B,,,,,,,,,,730.90M,730.90M,,,667.70M,1.399B,473.80M,,473.80M,139.30M,139.30M,,,77.10M,690.20M,2.089B,,,1.392B,,,,,,1.321B,,,
1987-12,88.00M,88.00M,,323.40M,,,,624.50M,,,69.10M,1.105B,,,,,,1.130B,-349.80M,779.90M,,125.20M,125.20M,,407.40M,1.312B,2.418B,,,,,,,,,,217.00M,217.00M,,,587.10M,804.10M,165.50M,,165.50M,65.80M,65.80M,,,78.30M,309.60M,1.114B,,,1.374B,,,,,,1.304B,,,
1986-12,227.80M,227.80M,,260.10M,,,,541.90M,,,58.40M,1.088B,,,,,,992.90M,-322.00M,670.90M,,116.70M,116.70M,,326.50M,1.114B,2.202B,,,,,,,,,,23.30M,23.30M,,,514.00M,537.30M,170.90M,,170.90M,60.80M,60.80M,,,83.50M,315.20M,852.50M,,,1.261B,,,,,,1.350B,,,
1985-12,301.00M,301.00M,,247.50M,,,,386.20M,,,37.70M,972.40M,,,,,,772.40M,-264.20M,508.20M,,,,,279.70M,787.90M,1.760B,,,,,,,,,,14.60M,14.60M,,,406.80M,421.40M,49.30M,,49.30M,42.70M,42.70M,,,40.30M,132.30M,553.70M,,,1.136B,,,,,,1.207B,,,
1984-12,310.60M,310.60M,,199.50M,,,,359.70M,,,42.60M,912.40M,,,,,,613.90M,-227.00M,386.90M,,,,,265.70M,652.60M,1.565B,,,,,,,,,,,,,,,375.80M,52.80M,,52.80M,25.80M,25.80M,,,14.30M,92.90M,468.70M,,,1.027B,,,,,,1.096B,,,
