,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-03,518.70M,518.70M,391.20M,127.50M,,109.70M,109.70M,32.40M,0.30M,,,,539.10M,681.20M,-553.70M,,,,0.30M,,-87.90M,-31.60M,-56.30M,,,-56.30M,-56.49M,-506.10M,47.60M,-553.70M,-0.53,0.0,,-0.5318,-0.53,-0.53,0.0,,-0.5318,-0.53,106.33M,106.33M,0.0
2002-12,527.70M,527.70M,,,,,-248.70M,,-1.20M,,,,1.887B,1.670B,-37.10M,,,,-1.20M,,-64.90M,-21.80M,-43.10M,0.00,,-43.10M,-42.30M,258.30M,295.40M,-37.10M,-0.405,-0.0025,0.0,-0.3975,-0.4075,-0.4054,-0.0025,0.0001,-0.3979,-0.4075,106.22M,106.22M,0.0
2002-09,620.60M,620.60M,383.60M,237.00M,-7.20M,126.10M,118.90M,34.40M,-1.30M,,,,70.10M,223.40M,13.60M,,,,-1.30M,,19.30M,6.80M,12.50M,,,12.50M,13.34M,48.00M,-33.90M,13.60M,0.1175,0.0,,0.1255,0.1175,0.1175,0.0,,0.1254,0.1175,105.84M,106.25M,0.0
2002-06,574.10M,574.10M,325.40M,248.70M,-11.50M,81.10M,69.60M,34.20M,6.10M,,,,113.40M,217.20M,31.50M,,,,6.10M,,-6.50M,-2.00M,-4.50M,,,-4.50M,-8.723M,65.70M,-34.50M,31.50M,-0.0425,0.0,,-0.0823,-0.0425,-0.0425,0.0,,-0.0823,-0.0425,106.19M,106.19M,0.0
2002-03,500.10M,500.10M,348.80M,151.30M,-12.40M,118.90M,106.50M,32.30M,5.10M,,,,88.30M,227.10M,-75.80M,,,,5.10M,,-52.40M,-18.70M,-33.70M,-51.40M,,-85.10M,-36.98M,-43.50M,-32.30M,-75.80M,-0.3175,-0.485,0.0,-0.3484,-0.8025,-0.3175,-0.485,-0.4843,-0.3484,-0.8025,106.13M,106.13M,0.0
2001-12,466.10M,466.10M,346.50M,119.60M,112.60M,86.60M,199.20M,37.20M,-41.70M,,,,1.74B,1.976B,-1.857B,,,,-41.70M,,-54.30M,-16.90M,-37.40M,,,-37.40M,-8.678M,-1.552B,304.70M,-1.857B,-0.3525,0.0,,-0.0818,-0.3525,-0.3525,0.0,,-0.0818,-0.3525,106.12M,106.12M,0.0
2001-09,587.50M,587.50M,367.80M,219.70M,-16.20M,127.40M,111.20M,34.30M,29.20M,,,,58.60M,204.10M,15.60M,,,,29.20M,,39.90M,13.70M,26.20M,,,26.20M,7.026M,49.90M,-34.30M,15.60M,0.2475,0.0,,0.0667,0.2475,0.2475,0.0,,0.067,0.2475,106.06M,106.24M,0.0
2001-06,582.80M,582.80M,375.20M,207.60M,-16.30M,125.80M,109.50M,32.20M,0.40M,,,,62.80M,204.50M,3.10M,,,,0.40M,,6.50M,3.00M,3.50M,,,3.50M,3.26M,35.30M,-113.10M,3.10M,0.0325,0.0,,0.0302,0.0325,0.0325,0.0,,0.0302,0.0325,105.92M,106.10M,0.0
2001-03,516.00M,516.00M,370.10M,145.90M,16.40M,110.80M,127.20M,29.90M,-1.40M,,,,482.90M,640.00M,-494.10M,,,,-1.40M,,-51.30M,-18.20M,-33.10M,0.00,,-33.10M,-32.20M,-443.60M,50.50M,-494.10M,-0.3125,0.0,0.0,-0.304,-0.3125,-0.3125,0.0,0.0,-0.304,-0.3125,105.88M,105.88M,0.0
2000-12,549.20M,549.20M,407.90M,141.30M,-103.70M,195.20M,91.50M,32.20M,11.50M,,,,589.40M,713.10M,-571.80M,,,,11.50M,,-64.90M,-29.00M,-35.90M,10.10M,,-25.80M,-42.80M,-539.60M,-230.50M,-571.80M,-0.34,0.095,0.0,-0.4052,-0.245,-0.34,0.095,0.0955,-0.4052,-0.245,105.78M,105.78M,0.0
