,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1991-03,53.80M,,53.80M,,52.20M,,,,67.20M,,,10.90M,184.10M,,,,58.00M,-28.70M,29.30M,,,,,,5.00M,34.30M,218.40M,,22.40M,,,22.40M,,22.40M,,4.40M,4.40M,,,33.40M,60.20M,1.90M,1.90M,2.00M,2.00M,,,3.90M,64.10M,,,143.80M,,,,,154.30M,,,
1990-12,38.70M,,38.70M,,50.70M,,,,60.10M,,,26.10M,175.60M,,,,57.40M,-28.70M,28.70M,,4.30M,4.30M,,,0.90M,33.90M,209.50M,,20.90M,,,20.90M,,20.90M,,2.70M,2.70M,,,34.10M,57.70M,1.90M,1.90M,2.00M,2.00M,,,3.90M,61.60M,,,136.10M,,,,,147.90M,,,
1990-09,47.10M,,47.10M,,51.50M,,,,55.70M,,,7.00M,161.30M,,,,52.90M,-25.30M,27.60M,,,,,,5.40M,33.00M,194.30M,,13.90M,,,13.90M,,13.90M,,1.70M,1.70M,,,33.40M,49.00M,2.30M,2.30M,2.10M,2.10M,,0.10M,4.50M,53.50M,,,129.90M,,,,,140.80M,,,
1990-06,21.20M,,21.20M,,54.20M,,,,54.50M,,,6.60M,136.50M,,,,50.70M,-25.30M,25.40M,,4.60M,4.60M,,,0.70M,30.70M,167.20M,,14.40M,,,14.40M,,14.40M,,2.00M,2.00M,,,21.30M,37.70M,2.80M,2.80M,2.10M,2.10M,,-0.10M,4.80M,42.50M,,,114.40M,,,,,124.70M,,,
1990-03,24.30M,,24.30M,,51.00M,,,,51.30M,,,6.80M,133.40M,,,,49.40M,-25.30M,24.10M,,3.40M,3.40M,,,0.80M,28.30M,161.70M,,14.20M,,,14.20M,,14.20M,,3.80M,3.80M,,,20.20M,38.20M,2.60M,2.60M,2.10M,2.10M,,,4.70M,42.90M,,,108.80M,,,,,118.80M,,,
1989-12,19.30M,,19.30M,,47.40M,,,,51.50M,,,6.90M,125.10M,,,,48.20M,-25.30M,22.90M,,3.50M,3.50M,,,0.80M,27.20M,152.30M,,11.60M,,,11.60M,,11.60M,,3.40M,3.40M,,,20.50M,35.50M,2.70M,2.70M,2.10M,2.10M,,,4.80M,40.30M,,,102.50M,,,,,112.00M,,,
1989-09,9.80M,,9.80M,,45.60M,,,,53.40M,,,7.10M,115.90M,,,,42.60M,-20.60M,22.00M,,3.80M,3.80M,,,0.80M,26.60M,142.50M,,9.90M,,,9.90M,,9.90M,,4.50M,4.50M,,,17.40M,31.80M,2.60M,2.60M,2.00M,2.00M,,,4.60M,36.40M,,,97.60M,,,,,106.10M,,,
1989-06,4.40M,,4.40M,,42.90M,,,,55.00M,,,6.70M,109.00M,,,,42.30M,-20.60M,21.70M,,4.20M,4.20M,,,0.60M,26.50M,135.50M,,11.50M,,,11.50M,,11.50M,,5.20M,5.20M,,,13.00M,29.70M,3.00M,3.00M,2.00M,2.00M,,0.10M,5.10M,34.80M,,,93.00M,,,,,100.70M,,,
1988-12,4.60M,,4.60M,,38.70M,,,,49.70M,,,5.80M,98.80M,,,,41.30M,-20.60M,20.70M,,4.90M,4.90M,,,0.40M,26.00M,124.80M,,,,,,,,,3.60M,3.60M,,,25.20M,28.80M,3.10M,3.10M,2.00M,2.00M,,-0.10M,5.00M,33.80M,,,83.30M,,,,,91.00M,,,
1987-12,6.00M,,6.00M,,34.60M,,,,36.30M,,,4.00M,80.90M,,,,34.40M,-16.70M,17.70M,,5.90M,5.90M,,,0.50M,24.10M,105.00M,,,,,,,,,6.70M,6.70M,,,17.80M,24.50M,3.70M,3.70M,1.50M,1.50M,,0.10M,5.30M,29.80M,,,67.40M,,,,,75.20M,,,
1986-12,8.40M,,8.40M,,23.90M,,,,28.20M,,,3.20M,63.70M,,,,29.30M,-12.40M,16.90M,,4.90M,4.90M,,,0.50M,22.30M,86.00M,,,,,,,,,0.40M,0.40M,,,20.40M,20.80M,4.00M,4.00M,1.50M,1.50M,,,5.50M,26.30M,,,54.10M,,,,,59.70M,,,
1985-12,12.10M,,12.10M,,17.30M,,,,22.20M,,,2.50M,54.10M,,,,23.60M,-9.00M,14.60M,,1.30M,1.30M,,,0.70M,16.60M,70.70M,,,,,,,,,0.10M,0.10M,,,16.60M,16.70M,4.20M,4.20M,1.30M,1.30M,,,5.50M,22.20M,,,44.00M,,,,,48.50M,,,
1984-12,11.00M,,11.00M,,13.30M,,,,16.40M,,,2.40M,43.10M,,,,16.60M,-6.50M,10.10M,,1.40M,1.40M,,,2.00M,13.50M,56.60M,,,,,,,,,,,,,,12.30M,3.70M,3.70M,1.00M,1.00M,,-0.10M,4.60M,16.90M,,,35.60M,,,,,39.70M,,,
