,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-03,,23.00M,,23.00M,,,213.60M,,,35.00M,271.60M,,,,,,,,75.40M,-40.00M,35.40M,,14.90M,14.90M,,,,13.70M,64.00M,335.60M,,43.10M,,,,43.10M,,43.10M,,,7.70M,,7.70M,,,125.10M,175.90M,,,,1.00M,1.00M,,,,4.10M,5.10M,181.00M,,,102.40M,,,,,,154.60M,,,
1992-12,,23.60M,,23.60M,,,179.60M,,,43.00M,246.20M,,,,,,,,73.90M,-39.40M,34.50M,,9.20M,9.20M,,,,13.50M,57.20M,303.40M,,42.50M,,,,42.50M,,42.50M,,,,,,,,110.10M,152.60M,,,,0.90M,0.90M,,,,4.30M,5.20M,157.80M,,,95.60M,,,,,,145.60M,,,
1992-09,,22.80M,,22.80M,,,201.40M,,,34.00M,258.20M,,,,,,,,74.80M,-39.40M,35.40M,,9.30M,9.30M,,,,13.80M,58.50M,316.70M,,60.30M,,,,60.30M,,60.30M,,,,,,,,111.20M,171.50M,,,,0.80M,0.80M,,,,4.60M,5.40M,176.90M,,,89.40M,,,,,,139.80M,,,
1992-06,,17.70M,,17.70M,,,181.00M,,,36.70M,235.40M,,,,,,,,69.80M,-35.30M,34.50M,,9.40M,9.40M,,,,14.40M,58.30M,293.70M,,55.80M,,,,55.80M,,55.80M,,,,,,,,100.80M,156.60M,,,,1.90M,1.90M,,,,4.80M,6.70M,163.30M,,,83.30M,,,,,,130.40M,,,
1992-03,,21.70M,,21.70M,,,180.90M,,,31.70M,234.30M,,,,,,,,66.30M,-35.30M,31.00M,,9.50M,9.50M,,,,13.10M,53.60M,287.90M,,49.10M,,,,49.10M,,49.10M,,,5.10M,,5.10M,,,103.50M,157.70M,,,,1.80M,1.80M,,,,5.10M,6.90M,164.60M,,,77.50M,,,,,,123.30M,,,
1991-12,,27.70M,,27.70M,,,172.30M,,,22.20M,222.20M,,,,,,,,66.60M,-35.30M,31.30M,,9.60M,9.60M,,,,13.60M,54.50M,276.70M,,57.30M,,,,57.30M,,57.30M,,,3.20M,,3.20M,,,95.40M,155.90M,,,,1.70M,1.70M,,,,5.40M,7.10M,163.00M,,,70.30M,,,,,,113.70M,,,
1991-09,,31.80M,,31.80M,,,154.80M,,,20.00M,206.60M,,,,,,,,65.80M,-35.30M,30.50M,,9.80M,9.80M,,,,13.20M,53.50M,260.10M,,51.40M,,,,51.40M,,51.40M,,,,,,,,94.60M,146.00M,,,,1.60M,1.60M,,,,5.60M,7.20M,153.20M,,,64.70M,,,,,,106.90M,,,
1991-06,,25.10M,,25.10M,,,164.10M,,,20.30M,209.50M,,,,,,,,63.70M,-33.90M,29.80M,,9.90M,9.90M,,,,13.30M,53.00M,262.50M,,60.20M,,,,60.20M,,60.20M,,,,,,,,97.50M,157.70M,,,,1.60M,1.60M,,,,5.80M,7.40M,165.10M,,,59.80M,,,,,,97.40M,,,
1991-03,,29.20M,,29.20M,,,166.60M,,,18.50M,214.30M,,,,,,,,61.80M,-32.30M,29.50M,,9.90M,9.90M,,,,11.70M,51.10M,265.40M,,64.60M,,,,64.60M,,64.60M,,,,,,,,100.50M,165.10M,,,,1.50M,1.50M,,,,6.10M,7.60M,172.70M,,,54.90M,,,,,,92.70M,,,
1990-12,,24.90M,,24.90M,,,174.40M,,,16.30M,215.60M,,,,,,,,60.30M,-30.90M,29.40M,,10.00M,10.00M,,,,12.40M,51.80M,267.40M,,71.50M,,,,71.50M,,71.50M,,,8.50M,,8.50M,,,92.10M,172.10M,,,,1.40M,1.40M,,,,6.40M,7.80M,179.90M,,,50.00M,,,,,,87.50M,,,
1990-09,,20.20M,,20.20M,,,166.10M,,,16.10M,202.40M,,,,,,,,58.10M,-29.50M,28.60M,,10.20M,10.20M,,,,12.50M,51.30M,253.70M,,66.30M,,,,66.30M,,66.30M,,,17.30M,,17.30M,,,79.30M,162.90M,,,,1.40M,1.40M,,,,6.40M,7.80M,170.70M,,,45.70M,,,,,,83.00M,,,
1990-06,,19.30M,,19.30M,,,155.20M,,,10.50M,185.00M,,,,,,,,56.90M,-28.60M,28.30M,,10.10M,10.10M,,,,12.70M,51.10M,236.10M,,54.90M,,,,54.90M,,54.90M,,,23.90M,,23.90M,,,71.80M,150.60M,,,,0.80M,0.80M,,,,6.80M,7.60M,158.20M,,,41.80M,,,,,,77.90M,,,
1990-03,,21.80M,,21.80M,,,142.60M,,,8.90M,173.30M,,,,,,,,49.10M,-27.00M,22.10M,,5.80M,5.80M,,,,11.70M,39.60M,212.90M,,62.40M,,,,62.40M,,62.40M,,,3.10M,,3.10M,,,73.20M,138.70M,,,,0.70M,0.70M,,,,7.00M,7.70M,146.40M,,,38.50M,,,,,,66.50M,,,
1989-12,,23.20M,,23.20M,,,131.90M,,,9.90M,165.00M,,,,,,,,47.90M,-26.00M,21.90M,,5.90M,5.90M,,,,12.00M,39.80M,204.80M,,58.30M,,,,58.30M,,58.30M,,,1.80M,,1.80M,,,74.40M,134.50M,,,,0.50M,0.50M,,,,7.30M,7.80M,142.30M,,,35.00M,,,,,,62.50M,,,
1989-09,,23.70M,,23.70M,,,139.70M,,,9.10M,172.50M,,,,,,,,47.00M,-24.90M,22.10M,,5.90M,5.90M,,,,12.20M,40.20M,212.70M,,58.50M,,,,58.50M,,58.50M,,,10.20M,,10.20M,,,70.90M,139.60M,6.30M,,6.30M,0.50M,0.50M,,,,7.50M,14.30M,153.90M,,,31.80M,,,,,,58.80M,,,
1988-09,,30.40M,,30.40M,,,112.80M,,,1.30M,144.50M,,,,,,,,41.30M,-21.80M,19.50M,,5.80M,5.80M,,,,10.40M,35.70M,180.20M,,,,,,,,,,,5.30M,,5.30M,,,117.20M,122.50M,9.20M,,9.20M,2.50M,2.50M,,,,8.50M,20.20M,142.70M,,,21.70M,,,,,,37.50M,,,
1987-09,,27.10M,,27.10M,,,0.50M,,,62.60M,90.20M,,,,,,,,35.30M,-19.50M,15.80M,,1.60M,1.60M,,,,9.80M,27.20M,117.40M,,,,,,,,,,,12.80M,,12.80M,,,50.70M,63.50M,12.30M,,12.30M,1.20M,1.20M,,,,9.40M,22.90M,86.40M,,,22.30M,,,,,,31.00M,,,
1986-09,,13.10M,,13.10M,,,30.70M,,,1.90M,45.70M,,,,,,,,37.10M,-20.60M,16.50M,,1.60M,1.60M,,,,12.30M,30.40M,76.10M,,,,,,,,,,,5.80M,,5.80M,,,32.10M,37.90M,0.90M,,0.90M,,,,,,10.30M,11.20M,49.10M,,,18.80M,,,,,,27.00M,,,
1985-09,,7.70M,,7.70M,,,53.80M,,,3.40M,64.90M,,,,,,,,37.50M,-20.20M,17.30M,,3.20M,3.20M,,,,12.30M,32.80M,97.70M,,,,,,,,,,,15.30M,,15.30M,,,42.70M,58.00M,1.60M,,1.60M,,,,,,11.30M,12.90M,70.90M,,,18.30M,,,,,,26.80M,,,
1984-09,,7.70M,,7.70M,,,47.50M,,,24.00M,79.20M,,,,,,,,34.00M,-18.70M,15.30M,,3.40M,3.40M,,,,13.10M,31.80M,111.00M,,,,,,,,,,,27.80M,,27.80M,,,43.00M,70.80M,3.50M,,3.50M,,,,,,12.40M,15.90M,86.70M,,,16.20M,,,,,,24.30M,,,
