,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-03,55.80M,55.80M,,,,738.90M,,,,,775.90M,,,138.60M,1.709B,,,,,,6.119B,-2.258B,3.861B,,,,,,611.70M,4.472B,6.182B,,456.70M,,,456.70M,,456.70M,,,479.40M,,479.40M,855.00M,1.791B,1.024B,1.024B,566.30M,566.30M,,58.30M,,416.10M,2.007B,3.798B,,,2.257B,,,,2.325B,,,
1992-12,41.10M,41.10M,,,,775.10M,,,,,719.70M,,,146.70M,1.683B,,,,,,5.974B,-2.199B,3.775B,,,,,,571.70M,4.346B,6.029B,,472.50M,,,472.50M,,472.50M,,,445.30M,,445.30M,905.00M,1.823B,994.60M,994.60M,554.60M,554.60M,,56.70M,,409.30M,1.958B,3.781B,,,2.198B,,,,2.191B,,,
1992-09,60.30M,60.30M,,,,775.40M,,,,,712.90M,,,25.60M,1.574B,,,,,,5.954B,-2.132B,3.822B,,,,,,640.20M,4.462B,6.036B,,432.70M,,,432.70M,,432.70M,,,364.30M,,364.30M,793.30M,1.590B,873.00M,873.00M,704.50M,704.50M,,53.10M,,105.90M,1.683B,3.274B,,,2.612B,,,,2.709B,,,
1992-06,66.70M,66.70M,,,,748.40M,,,,,704.20M,,,30.60M,1.550B,,,,,,5.828B,-2.084B,3.744B,,,,,,596.70M,4.341B,5.891B,,424.30M,,,424.30M,,424.30M,,,337.00M,,337.00M,757.10M,1.518B,871.80M,871.80M,697.70M,697.70M,,50.40M,,96.90M,1.666B,3.185B,,,2.535B,,,,2.656B,,,
1992-03,58.50M,58.50M,,,,735.30M,,,,,697.70M,,,32.70M,1.524B,,,,,,5.626B,-2.012B,3.613B,,,,,,543.40M,4.157B,5.681B,,369.10M,,,369.10M,,369.10M,,,335.20M,,335.20M,726.80M,1.431B,879.90M,879.90M,683.90M,683.90M,,52.70M,,89.00M,1.653B,3.084B,,,2.466B,,,,2.544B,,,
1991-12,42.80M,42.80M,,,,691.10M,,,,,686.00M,,,54.90M,1.475B,,,,,,5.592B,-1.982B,3.610B,,,,,,565.40M,4.176B,5.650B,,426.60M,,,426.60M,,426.60M,,,306.60M,,306.60M,700.10M,1.433B,874.70M,874.70M,682.80M,682.80M,,50.50M,,89.40M,1.647B,3.080B,,,2.395B,,,,2.520B,,,
1991-09,51.50M,51.50M,,,,648.60M,,,,,696.10M,,,24.20M,1.420B,,,,,,5.443B,-1.928B,3.514B,,,,,,554.10M,4.068B,5.489B,,367.30M,,,367.30M,,367.30M,,,193.80M,,193.80M,734.70M,1.296B,916.60M,916.60M,685.00M,685.00M,,48.00M,,111.50M,1.713B,3.009B,,,2.327B,,,,2.432B,,,
1991-06,44.70M,44.70M,,,,686.20M,,,,,673.00M,,,26.70M,1.431B,,,,,,5.286B,-1.861B,3.424B,,,,,,508.90M,3.933B,5.364B,,370.80M,,,370.80M,,370.80M,,,209.70M,,209.70M,696.40M,1.277B,920.60M,920.60M,677.50M,677.50M,,45.40M,,112.50M,1.711B,2.988B,,,2.26B,,,,2.331B,,,
1991-03,54.50M,54.50M,,,,709.70M,,,,,673.60M,,,27.60M,1.465B,,,,,,5.212B,-1.827B,3.386B,,,,,,486.30M,3.872B,5.337B,,404.60M,,,404.60M,,404.60M,,,406.50M,,406.50M,674.80M,1.486B,731.00M,731.00M,677.10M,677.10M,,46.10M,,114.00M,1.522B,3.008B,,,2.196B,,,,2.283B,,,
1990-12,60.20M,60.20M,,,,623.10M,,,,,668.00M,,,45.80M,1.397B,,,,,,5.188B,-1.802B,3.386B,,,,,,500.50M,3.887B,5.284B,,858.20M,,,858.20M,,858.20M,,,409.90M,,409.90M,198.10M,1.466B,728.50M,728.50M,677.60M,677.60M,,45.00M,,106.90M,1.513B,2.979B,,,2.13B,,,,2.260B,,,
1990-09,66.30M,66.30M,,,,679.70M,,,,,651.60M,,,21.10M,1.419B,,,,,,5.029B,-1.744B,3.286B,,,,,,479.90M,3.765B,5.184B,,399.80M,,,399.80M,,399.80M,,,327.30M,,327.30M,679.20M,1.406B,748.10M,748.10M,688.10M,688.10M,,41.60M,,102.10M,1.538B,2.945B,,,2.075B,,,,2.198B,,,
1990-06,105.90M,105.90M,,,,662.00M,,,,,624.20M,,,26.50M,1.419B,,,,,,4.842B,-1.677B,3.164B,,,,,,451.50M,3.616B,5.035B,,380.10M,,,380.10M,,380.10M,,,369.50M,,369.50M,625.80M,1.375B,750.90M,750.90M,669.10M,669.10M,,40.20M,,93.70M,1.514B,2.889B,,,2.006B,,,,2.105B,,,
1990-03,115.00M,115.00M,,,,646.00M,,,,,647.30M,,,30.80M,1.439B,,,,,,4.893B,-1.759B,3.134B,,,,,,410.40M,3.545B,4.984B,,386.20M,,,386.20M,,386.20M,,,266.70M,,266.70M,619.10M,1.272B,749.90M,749.90M,662.80M,662.80M,,104.90M,,86.90M,1.500B,2.772B,,,1.980B,,,,2.107B,,,
1989-12,164.30M,164.30M,,,,624.80M,,,,,615.50M,,,38.60M,1.443B,,,,,,4.754B,-1.713B,3.041B,,,,,,438.90M,3.480B,4.923B,,773.20M,,,773.20M,,773.20M,,,293.30M,,293.30M,196.70M,1.263B,745.10M,745.10M,643.50M,643.50M,,105.50M,,79.90M,1.468B,2.732B,,,1.916B,,,,2.086B,,,
1989-09,139.20M,139.20M,,,,624.50M,,,,,584.20M,,,,1.348B,,,,,,4.560B,-1.660B,2.899B,,,,,,447.60M,3.347B,4.695B,,352.40M,,,352.40M,,352.40M,,,176.00M,,176.00M,699.90M,1.228B,728.90M,728.90M,630.90M,630.90M,,101.50M,,,1.360B,2.588B,,,1.878B,,,,2.005B,,,
1989-06,130.40M,130.40M,,,,573.00M,,,,,591.80M,,,,1.295B,,,,,,4.370B,-1.614B,2.756B,,,,,,437.50M,3.194B,4.489B,,339.50M,,,339.50M,,339.50M,,,181.10M,,181.10M,610.00M,1.131B,725.80M,725.80M,605.60M,605.60M,,97.30M,,,1.331B,2.462B,,,1.821B,,,,1.929B,,,
1988-12,84.10M,84.10M,,,,584.90M,,,,,566.50M,,,,1.236B,,,,,,4.154B,-1.579B,2.575B,,,,,,456.80M,3.032B,4.268B,,,,,,,,,,110.90M,,110.90M,868.50M,979.40M,743.30M,743.30M,585.00M,585.00M,,,,94.30M,1.423B,2.402B,,,1.701B,,,,1.866B,,,
1987-12,89.70M,89.70M,,,,519.90M,,,,,525.40M,,,,1.135B,,,,,,3.768B,-1.431B,2.337B,,,,,,413.90M,2.751B,3.886B,,,,,,,,,,250.00M,,250.00M,746.10M,996.10M,686.90M,686.90M,548.20M,548.20M,,,,82.60M,1.318B,2.314B,,,1.451B,,,,1.572B,,,
1986-12,46.40M,46.40M,,,,455.20M,,,,,531.30M,,,,1.033B,,,,,,3.504B,-1.241B,2.263B,,,,,,380.10M,2.643B,3.676B,,,,,,,,,,134.00M,,134.00M,670.80M,804.80M,426.30M,426.30M,448.50M,448.50M,,,,76.50M,951.30M,1.756B,,,1.858B,,,,1.920B,,,
1985-12,39.10M,39.10M,,,,440.70M,,,,,477.10M,,,-0.10M,956.80M,,,,,,3.266B,-1.110B,2.156B,,,,,,391.00M,2.547B,3.504B,,,,,,,,,,122.30M,,122.30M,670.90M,793.20M,509.20M,509.20M,391.90M,391.90M,,,,65.60M,966.70M,1.760B,,,1.702B,,,,1.744B,,,
1984-12,32.20M,32.20M,,,,412.30M,,,,,474.10M,,,-0.10M,918.50M,,,,,,2.885B,-991.50M,1.893B,,,,,,360.90M,2.254B,3.173B,,,,,,,,,,146.50M,,146.50M,555.30M,701.80M,541.50M,541.50M,296.20M,296.20M,,,,60.90M,898.60M,1.600B,,,1.541B,,,,1.572B,,,
